City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
45,grindavik,63.8424,-22.4338,2.97,69,75,9.26,IS,1679482187
46,watsa,3.0372,29.5355,30.65,34,97,1.65,CD,1679482188
47,ushuaia,-54.8,-68.3,6.81,81,75,8.75,AR,1679482121
48,hasaki,35.7333,140.8333,15.22,83,2,3.37,JP,1679482190
49,albany,42.6001,-73.9662,1.34,72,100,0.66,US,1679482191
50,bathsheba,13.2167,-59.5167,25.34,73,40,7.2,BB,1679482191
51,puerto escondido,15.85,-97.0667,25.34,68,0,1.19,MX,1679481982
52,arraial do cabo,-22.9661,-42.0278,25.92,83,20,2.06,BR,1679481991
53,castro,-24.7911,-50.0119,16.73,96,50,1.83,BR,1679482194
54,hithadhoo,-0.6,73.0833,28.01,75,88,4.23,MV,1679482194
55,thompson,55.7435,-97.8558,-11.91,61,75,1.54,CA,1679481915
56,yerbogachen,61.2767,108.0108,-10.82,83,88,3.98,RU,1679482196
57,fairbanks,64.8378,-147.7164,-10.0,69,0,3.6,US,1679482197
58,tomatlan,19.9333,-105.25,18.05,69,0,1.39,MX,1679481972
59,tapiramuta,-11.8472,-40.7914,19.71,93,99,2.29,BR,1679482198
60,carnarvon,-24.8667,113.6333,25.68,72,100,6.09,AU,1679482199
61,busselton,-33.65,115.3333,21.75,72,4,6.59,AU,1679482200
62,port alfred,-33.5906,26.891,23.43,76,2,1.34,ZA,1679482201
63,mataura,-46.1927,168.8643,8.36,93,100,1.85,NZ,1679482202
64,fasa,28.9383,53.6482,14.58,38,20,6.17,IR,1679482203
65,mar del plata,-38.0023,-57.5575,18.86,76,0,2.06,AR,1679482204
66,bafata,12.1667,-14.75,33.11,24,15,1.03,GW,1679482205
67,kimbe,-5.5502,150.1429,25.77,86,92,0.63,PG,1679482207
68,varhaug,58.6147,5.6457,7.86,96,100,10.51,NO,1679482208
69,tuktoyaktuk,69.4541,-133.0374,-14.58,98,84,3.39,CA,1679482209
70,cabo san lucas,22.8909,-109.9124,20.28,72,3,4.75,MX,1679482160
71,saint-philippe,-21.3585,55.7679,29.77,82,53,2.79,RE,1679482211
72,hermanus,-34.4187,19.2345,25.45,63,100,3.98,ZA,1679482212
73,mehamn,71.0357,27.8492,-6.05,73,40,11.32,NO,1679482213
74,atuona,-9.8,-139.0333,26.15,77,11,3.86,PF,1679482214
75,hobart,-42.8794,147.3294,13.92,82,75,1.54,AU,1679481853
76,sinnamary,5.3833,-52.95,25.33,74,95,4.66,GF,1679482216
77,dutlwe,-23.9833,23.9,30.91,23,93,6.24,BW,1679482217
78,diu,20.7141,70.9822,28.13,54,8,7.74,IN,1679482218
79,kismayo,-0.3582,42.5454,30.35,62,34,6.7,SO,1679482218
80,topchanchi,23.9,86.2,29.81,27,53,1.13,IN,1679482219
81,bima,-8.4667,118.7167,25.74,88,100,0.6,ID,1679482220
82,saskylakh,71.9167,114.0833,-14.51,92,100,5.78,RU,1679482221
83,yellowknife,62.456,-114.3525,-14.69,78,75,5.14,CA,1679482222
84,santa isabel do rio negro,-0.4139,-65.0192,22.77,86,75,0.69,BR,1679482223
85,recodo,6.9519,121.9636,29.01,74,20,1.03,PH,1679482225
86,taoudenni,22.6783,-3.9836,29.14,19,1,3.86,ML,1679482227
87,vanavara,60.34,102.2797,-9.36,85,96,3.81,RU,1679482228
88,barrow,71.2906,-156.7887,-15.99,85,20,3.6,US,1679482229
89,la romana,18.4273,-68.9728,21.92,90,1,4.11,DO,1679482229
90,dikson,73.5069,80.5464,-21.08,95,82,4.7,RU,1679482230
91,georgetown,5.4112,100.3354,31.96,79,20,4.12,MY,1679481701
92,vardo,70.3705,31.1107,-10.01,73,0,8.23,NO,1679482232
93,souillac,-20.5167,57.5167,29.21,74,75,4.63,MU,1679482233
94,sibolga,1.7427,98.7792,27.5,81,100,1.3,ID,1679482236
95,upernavik,72.7868,-56.1549,-27.38,97,53,2.34,GL,1679482236
96,oktyabrskoye,43.0645,44.7417,10.08,71,100,1.0,RU,1679482237
97,salisbury,51.0693,-1.7957,14.27,79,40,8.23,GB,1679482238
98,port elizabeth,-33.918,25.5701,25.61,62,20,2.57,ZA,1679482033
99,isangel,-19.55,169.2667,25.01,82,99,6.14,VU,1679482240
100,tondano,1.3038,124.9112,21.05,94,100,0.53,ID,1679482241
101,sao filipe,14.8961,-24.4956,22.02,67,59,3.41,CV,1679482242
102,kaitangata,-46.2817,169.8464,10.25,83,97,4.27,NZ,1679482243
103,butaritari,3.0707,172.7902,27.65,78,37,5.55,KI,1679482244
104,dunedin,-45.8742,170.5036,11.56,72,71,4.47,NZ,1679482245
105,qujing,25.4833,103.7833,18.87,39,98,9.45,CN,1679482246
106,norman wells,65.282,-126.8329,-16.98,85,40,2.57,CA,1679482247
107,nanortalik,60.1432,-45.2371,-3.62,79,100,3.11,GL,1679482248
108,juneau,58.3019,-134.4197,3.45,93,100,4.63,US,1679482249
109,srednekolymsk,67.45,153.6833,-22.34,93,100,5.87,RU,1679482250
110,muzhi,65.3667,64.6667,-4.71,96,100,7.0,RU,1679482251
111,nishihara,26.1842,127.7558,24.03,91,75,6.17,JP,1679482252
112,karachi,24.9056,67.0822,28.9,32,75,7.2,PK,1679481982
113,shchors,51.8186,31.945,10.26,70,96,1.16,UA,1679482253
